Completed,Event,Type,Date,Street,City,State,Zip,Distance,Time,Registered,ID,URL
1,Carolina Spartan Sprint,OCR,3/22/2014,Porter Farms 7600 Miami Church Rd,Concord,NC,28025,4.5,1:24:47,1,4314,http://www.spartan.com/events/?event_id=40/charlotte-sprint
1,Mid-Atlantic Savage Race,OCR,5/17/2014,13003 Turners Creek Road,Kennedyville,MD,21645,5.6,2:03:45,1,1865,http://www.savagerace.com/locations/mid-atlantic-spring-2014?
1,GoRuck Light Richmond VA,RUCK,6/28/2014,Richmond VA,Richmond,VA,23218,11,5:00:00,1,343,https://www.goruck.com/e/31d0c5c371c8489081f1bf7ac8815fd1#.VG_CPfnF98E
1,DC Spartan Sprint,OCR,7/26/2014,11100 Kingston Pl,Charlotte Hall,MD,20622,4.5,1:59:39,1,10535,http://www.spartan.com/events/?event_id=189/washington-dc-sprint
1,Virginia Spartan Super,OCR,8/23/2014,39 Mountain Inn Loop,Roseland,VA,22967,9,4:44:30,1,4590,http://www.spartan.com/events/?event_id=118/virginia-super&section=results
1,Citizen Park Spartan Sprint,OCR,9/20/2014,1 Citizens Bank Way,Philadelphia,PA,19148,3,1:09:42,1,3104,http://www.spartan.com/events/?event_id=165/citizens-bank-park-sprint-%28stadium%29
1,GoRuck Light Mogadishu Mile,RUCK,10/4/2014,Georgetown,Washington,DC,20001,10,6:00:00,1,475,https://www.goruck.com/e/931d2f7713244f30aca51e16dfebba9c#.VG_Bs_nF98E
1,GoRuck Scavenger Washington DC,RUCK,10/5/2014,Washington DC,Washington,DC,20001,6,3:00:00,1,475,https://www.goruck.com/e/931d2f7713244f30aca51e16dfebba9c#.VG_Bs_nF98E
1,GoRuck Challenge Chicago,OCR,10/10/2014,Soldier Field,Chicago,IL,60018,21,12:00:00,1,1220,https://www.goruck.com/e/b8a31b4a9cc24e65b87b4e9fbd2a25e9#.VG_B1vnF98E
1,Carolina Spartan Beast ,OCR,10/25/2014,1515 Arrowhead Road,Winnsboro,SC,29180,12,3:32:51,1,4480,http://www.spartan.com/events/?event_id=170/carolinas-beast
